ID,Material Name,Category,Unit Cost (USD),Stock Level,Monthly Sales,Avg Lead Time (days),Durability (1-10),Eco-Friendly,Recommended For,Customer Rating (1-5),Image URL,Popular Regions,Seasonality Index,Year,Month
19,Kraft Paper,Box,0.68,1829,1268.53,12,3,Yes,Toys,3.2,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"UAE, North America",1.0,2026,January
20,Plastic Mailer,Box,0.46,596,946.55,5,9,No,"Accessories, Books, Electronics",4.6,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,Australia,0.79,2026,February
21,Biodegradable Foam,Envelope,0.53,1701,1967.64,5,6,Yes,"Accessories, Books",4.2,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,"North America, Australia",1.23,2026,March
22,Kraft Paper,Envelope,0.37,1951,1322.8,14,7,No,"Accessories, Toys",4.4,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,Latin America,0.97,2026,April
23,Thermal Insulated Box,Envelope,1.52,2318,1053.48,8,3,No,"Clothing, Toys, Accessories",4.0,https://dummyimage.com/600x400/000/fff&text=Thermal+Insulated+Box,Australia,0.75,2026,May
24,Jiffy Bag,Envelope,0.15,1540,1256.25,10,7,Yes,Jewelry,3.4,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,Europe,1.05,2026,June
25,Stretch Film,Wrap,1.58,2054,1820.58,9,9,Yes,"Electronics, Toys",3.6,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,"UAE, Latin America",1.38,2026,July
26,Bubble Wrap,Box,0.52,1594,1100.34,8,8,Yes,Jewelry,4.4,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,UAE,0.78,2026,August
27,Rigid Boxes,Wrap,0.57,4265,1135.86,14,10,No,"Jewelry, Toys",3.7,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,UAE,0.92,2026,September
28,Kraft Paper,Envelope,0.63,1123,1592.4,7,3,Yes,"Clothing, Accessories, Toys",4.6,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"UAE, Europe",1.1,2026,October
29,Bubble Wrap,Filler,0.49,2123,1586.81,13,5,No,"Jewelry, Tools, Food",3.2,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,"Latin America, Australia",1.21,2026,November
30,Shrink Wrap,Envelope,1.22,2383,1842.14,10,5,No,"Jewelry, Tools, Cosmetics",3.1,https://dummyimage.com/600x400/000/fff&text=Shrink+Wrap,"UAE, North America",1.36,2026,December
31,Padded Envelope,Envelope,1.56,2669,1507.95,7,6,No,Clothing,4.0,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,UAE,1.15,2027,January
32,Stretch Film,Envelope,1.47,2411,1835.55,13,4,Yes,"Books, Jewelry",3.6,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,Europe,1.11,2027,February
33,Plastic Mailer,Bag,0.59,1687,1435.13,3,8,Yes,Cosmetics,4.7,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,"Australia, Africa",1.03,2027,March
34,Corrugated Cardboard,Wrap,1.72,655,1634.41,12,3,No,"Jewelry, Glassware, Books",4.7,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,"Europe, UAE",1.31,2027,April
35,Stretch Film,Envelope,1.22,493,2068.67,6,5,No,"Toys, Jewelry, Glassware",4.9,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,"Africa, Latin America",1.37,2027,May
36,Biodegradable Foam,Envelope,1.2,2065,1506.6,5,5,No,"Tools, Clothing, Electronics",3.9,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,"North America, Europe",1.23,2027,June
37,Rigid Boxes,Box,0.57,4873,1054.02,11,8,No,Cosmetics,4.0,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,Africa,0.74,2027,July
38,Stretch Film,Bag,1.67,4767,1447.12,13,9,Yes,Cosmetics,3.6,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,"Latin America, Asia",1.29,2027,August
39,Thermal Insulated Box,Filler,1.56,2849,1766.46,15,7,No,Books,3.3,https://dummyimage.com/600x400/000/fff&text=Thermal+Insulated+Box,Asia,1.46,2027,September
40,Stretch Film,Filler,0.06,1863,1266.19,11,3,Yes,"Accessories, Food",4.9,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,North America,0.89,2027,October
41,Kraft Paper,Wrap,0.38,3501,2052.6,6,4,No,"Clothing, Electronics",4.6,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"Asia, North America",1.37,2027,November
42,Stretch Film,Wrap,1.78,1028,1220.45,15,8,No,"Accessories, Food, Tools",4.1,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,UAE,0.86,2027,December
43,Stretch Film,Wrap,1.16,1073,1558.36,2,8,No,"Toys, Books, Tools",5.0,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,"Latin America, Asia",1.13,2028,January
44,Biodegradable Foam,Wrap,1.96,350,1502.06,13,8,Yes,"Accessories, Books",5.0,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,"Latin America, Asia",1.11,2028,February
45,Rigid Boxes,Box,0.55,1352,1379.16,5,8,Yes,"Tools, Food, Books",3.2,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,Europe,1.16,2028,March
46,Stretch Film,Envelope,1.97,662,1799.75,7,9,Yes,Cosmetics,4.7,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,"Australia, Latin America",1.39,2028,April
47,Kraft Paper,Box,0.83,1619,1543.9,8,7,No,"Books, Glassware, Electronics",3.2,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"Europe, Australia",1.16,2028,May
48,Shrink Wrap,Wrap,0.88,3919,1126.18,10,8,Yes,Glassware,3.2,https://dummyimage.com/600x400/000/fff&text=Shrink+Wrap,Asia,0.73,2028,June
49,Plastic Mailer,Box,0.98,1224,1298.84,3,4,Yes,"Glassware, Cosmetics, Tools",3.7,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,"North America, Asia",0.9,2028,July
50,Plastic Mailer,Filler,1.22,2753,1344.6,11,8,Yes,"Food, Glassware",4.3,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,Australia,1.17,2028,August
51,Kraft Paper,Wrap,1.54,2905,2103.03,12,6,Yes,Tools,3.6,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,Africa,1.46,2028,September
52,Bubble Wrap,Envelope,0.22,3695,1314.66,9,3,No,"Jewelry, Electronics",4.0,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,"North America, Australia",0.98,2028,October
53,Thermal Insulated Box,Envelope,0.75,1858,1573.93,7,10,Yes,"Books, Accessories, Jewelry",4.9,https://dummyimage.com/600x400/000/fff&text=Thermal+Insulated+Box,"Latin America, Asia",1.21,2028,November
54,Biodegradable Foam,Box,1.69,2631,1776.67,4,9,Yes,"Clothing, Cosmetics",3.8,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,"Australia, Europe",1.2,2028,December
55,Corrugated Cardboard,Filler,1.38,2150,1462.11,9,5,No,"Books, Jewelry, Electronics",4.7,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,"Australia, Europe",0.95,2029,January
56,Stretch Film,Wrap,0.23,2060,1357.38,9,5,No,Tools,3.7,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,UAE,0.89,2029,February
57,Biodegradable Foam,Box,0.11,4600,1163.1,10,7,No,"Books, Accessories",3.5,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,"North America, Australia",0.91,2029,March
58,Honeycomb Paper,Box,0.61,4780,1974.03,3,7,Yes,"Books, Toys, Clothing",3.5,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,Australia,1.46,2029,April
59,Padded Envelope,Envelope,0.53,3528,1772.96,9,7,Yes,Electronics,4.2,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,Australia,1.23,2029,May
60,Padded Envelope,Filler,1.9,1597,1179.12,6,5,No,"Toys, Cosmetics, Electronics",4.6,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,Africa,0.77,2029,June
61,Biodegradable Foam,Envelope,0.86,1321,1700.3,8,3,No,"Glassware, Clothing",3.7,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,Australia,1.28,2029,July
62,Biodegradable Foam,Box,0.11,4209,1670.56,12,6,Yes,Electronics,4.0,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,Europe,1.22,2029,August
63,Bubble Wrap,Box,1.81,115,1762.02,4,5,Yes,"Toys, Electronics, Tools",4.5,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,"North America, Australia",1.42,2029,September
64,Biodegradable Foam,Wrap,1.08,1072,1252.89,15,4,No,"Accessories, Electronics",4.6,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,"North America, Australia",1.02,2029,October
65,Kraft Paper,Filler,0.19,390,1780.13,7,9,No,Clothing,3.9,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"UAE, North America",1.18,2029,November
66,Shrink Wrap,Wrap,0.69,1220,2313.28,6,5,No,"Glassware, Cosmetics, Books",4.6,https://dummyimage.com/600x400/000/fff&text=Shrink+Wrap,"UAE, North America",1.46,2029,December
67,Plastic Mailer,Bag,1.3,2617,1163.54,6,6,Yes,Books,3.2,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,"Asia, Australia",0.84,2030,January
68,Rigid Boxes,Bag,1.68,2613,1304.95,8,4,Yes,"Books, Food, Glassware",4.7,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,"Africa, Europe",0.85,2030,February
69,Biodegradable Foam,Bag,1.36,3311,1330.02,7,8,No,"Books, Food, Clothing",3.5,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,Africa,0.92,2030,March
70,Plastic Mailer,Envelope,1.15,4255,1553.2,5,8,No,Glassware,3.0,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,Asia,1.19,2030,April
71,Rigid Boxes,Box,0.11,3166,2096.18,8,3,No,"Cosmetics, Jewelry",4.0,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,"Asia, North America",1.45,2030,May
72,Jiffy Bag,Box,1.09,3776,2237.63,10,8,No,"Clothing, Accessories",4.6,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,North America,1.39,2030,June
73,Plastic Mailer,Box,1.46,175,1195.59,4,9,No,Glassware,3.1,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,"UAE, North America",0.86,2030,July
74,Stretch Film,Wrap,1.02,4651,1355.35,8,5,No,"Cosmetics, Books, Glassware",4.4,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,"Asia, Africa",0.84,2030,August
75,Plastic Mailer,Filler,1.26,2516,947.33,11,7,Yes,"Accessories, Cosmetics",3.3,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,"UAE, Asia",0.92,2030,September
76,Rigid Boxes,Envelope,1.12,4064,2128.94,12,5,No,"Glassware, Toys, Electronics",4.8,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,North America,1.41,2030,October
77,Padded Envelope,Wrap,1.0,1484,1759.2,14,6,Yes,Accessories,4.9,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,"Australia, Asia",1.25,2030,November
78,Biodegradable Foam,Bag,0.54,4258,1989.64,15,5,No,"Clothing, Toys, Jewelry",4.1,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,"North America, Australia",1.47,2030,December
79,Plastic Mailer,Box,1.87,1266,1731.86,14,3,Yes,Cosmetics,4.3,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,"Australia, UAE",1.23,2031,January
80,Stretch Film,Filler,1.47,4780,1252.06,7,9,Yes,"Books, Tools, Clothing",4.9,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,Australia,1.12,2031,February
81,Rigid Boxes,Box,1.9,4608,996.13,13,8,No,"Accessories, Jewelry",4.0,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,"Africa, North America",0.73,2031,March
82,Padded Envelope,Box,1.71,805,1762.95,6,8,No,"Books, Food",3.3,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,Europe,1.22,2031,April
83,Corrugated Cardboard,Bag,1.15,1723,1729.53,13,3,Yes,"Books, Tools",3.3,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,"Latin America, UAE",1.08,2031,May
84,Kraft Paper,Filler,1.58,2958,1812.38,10,9,No,Cosmetics,5.0,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"Asia, Africa",1.37,2031,June
85,Biodegradable Foam,Box,1.49,589,1141.35,2,8,No,"Cosmetics, Glassware, Books",3.0,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,North America,0.89,2031,July
86,Corrugated Cardboard,Filler,1.35,3068,1126.43,11,8,No,Clothing,3.1,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,"Africa, Europe",0.85,2031,August
87,Bubble Wrap,Box,1.31,2618,1142.2,11,9,No,"Books, Accessories, Toys",4.6,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,UAE,0.75,2031,September
88,Honeycomb Paper,Box,1.16,2074,1743.71,10,4,Yes,"Tools, Cosmetics, Electronics",3.3,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,Europe,1.21,2031,October
89,Bubble Wrap,Filler,1.79,3952,1625.2,9,9,No,"Cosmetics, Books, Accessories",3.8,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,Latin America,1.23,2031,November
90,Stretch Film,Envelope,1.88,3695,2170.9,4,6,Yes,Toys,4.8,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,"North America, Latin America",1.48,2031,December
91,Rigid Boxes,Envelope,0.46,2496,1197.45,15,3,No,"Electronics, Glassware, Books",4.7,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,Asia,0.85,2032,January
92,Jiffy Bag,Envelope,1.76,1127,1958.86,9,6,Yes,"Jewelry, Toys, Glassware",3.8,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,"North America, Asia",1.28,2032,February
93,Kraft Paper,Wrap,0.4,1460,1881.03,3,10,No,"Tools, Glassware",3.4,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"Australia, Africa",1.45,2032,March
94,Kraft Paper,Bag,1.53,1065,1902.79,11,9,No,Accessories,4.2,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,Europe,1.41,2032,April
95,Kraft Paper,Bag,0.64,4771,1273.48,9,4,No,"Glassware, Clothing, Tools",4.9,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"UAE, Australia",0.95,2032,May
96,Stretch Film,Bag,0.4,4471,1262.49,13,8,Yes,"Tools, Accessories, Cosmetics",3.9,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,"Africa, Latin America",1.06,2032,June
97,Padded Envelope,Filler,0.47,2279,1594.55,9,5,No,"Tools, Food",4.1,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,"UAE, Europe",1.11,2032,July
98,Plastic Mailer,Envelope,1.92,3706,1002.15,8,6,Yes,Glassware,4.8,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,Europe,0.7,2032,August
99,Biodegradable Foam,Envelope,0.66,251,1675.11,4,10,Yes,"Food, Jewelry, Tools",3.7,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,"Australia, Europe",1.2,2032,September
100,Kraft Paper,Bag,1.74,338,1852.98,6,4,Yes,Tools,4.8,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,Asia,1.36,2032,October
101,Rigid Boxes,Wrap,1.88,906,874.35,6,10,No,Electronics,4.8,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,"Australia, UAE",0.73,2032,November
102,Padded Envelope,Wrap,0.48,1457,1710.75,9,8,No,Jewelry,3.5,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,Asia,1.28,2032,December
103,Kraft Paper,Box,0.27,988,1280.03,9,10,Yes,"Jewelry, Glassware, Electronics",4.9,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,North America,0.95,2033,January
104,Bubble Wrap,Filler,1.95,4946,1142.12,7,10,Yes,"Books, Electronics, Toys",4.8,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,"UAE, Asia",0.89,2033,February
105,Plastic Mailer,Filler,0.37,4638,1056.99,12,9,Yes,"Clothing, Jewelry",3.3,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,North America,0.77,2033,March
106,Padded Envelope,Envelope,0.42,346,1974.16,2,5,Yes,"Accessories, Toys",4.8,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,Latin America,1.36,2033,April
107,Bubble Wrap,Bag,1.3,259,2454.4,12,10,Yes,"Glassware, Electronics",3.0,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,"Asia, Europe",1.48,2033,May
108,Shrink Wrap,Bag,0.42,790,1902.23,12,3,Yes,"Food, Glassware",3.7,https://dummyimage.com/600x400/000/fff&text=Shrink+Wrap,"Latin America, Europe",1.34,2033,June
109,Honeycomb Paper,Bag,1.57,4744,1874.81,14,5,No,"Jewelry, Books, Food",3.4,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,Australia,1.31,2033,July
110,Padded Envelope,Wrap,1.11,1281,1246.35,7,3,Yes,"Electronics, Tools",3.3,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,Latin America,0.9,2033,August
111,Rigid Boxes,Box,1.65,3754,1048.58,13,7,Yes,Clothing,3.6,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,"North America, Latin America",0.93,2033,September
112,Bubble Wrap,Wrap,0.25,1060,1683.73,12,3,No,"Cosmetics, Jewelry, Books",4.1,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,"UAE, Australia",1.21,2033,October
113,Biodegradable Foam,Bag,0.17,246,1066.75,15,5,No,"Toys, Food",3.5,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,"North America, Africa",0.76,2033,November
114,Padded Envelope,Bag,1.52,4778,2260.56,9,10,No,"Accessories, Jewelry, Food",3.0,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,"Africa, Latin America",1.3,2033,December
115,Rigid Boxes,Bag,1.71,1147,957.86,10,5,No,"Tools, Toys, Cosmetics",3.6,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,"Latin America, Australia",0.7,2034,January
116,Padded Envelope,Box,0.58,294,1422.92,8,9,Yes,"Accessories, Food, Cosmetics",3.8,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,"Europe, North America",0.99,2034,February
117,Corrugated Cardboard,Wrap,1.29,2753,1515.51,13,6,No,"Electronics, Books",4.9,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,Australia,1.09,2034,March
118,Corrugated Cardboard,Bag,0.15,3062,1035.01,12,4,Yes,Food,3.4,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,Australia,0.84,2034,April
119,Honeycomb Paper,Box,0.5,4167,1772.32,13,6,No,"Cosmetics, Tools",3.5,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,Latin America,1.14,2034,May
120,Kraft Paper,Wrap,0.99,3643,1320.11,15,6,Yes,"Toys, Books",3.5,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"North America, Asia",0.88,2034,June
121,Padded Envelope,Filler,1.43,4023,1129.19,6,7,No,"Books, Jewelry, Cosmetics",3.1,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,"Africa, Europe",0.75,2034,July
122,Honeycomb Paper,Envelope,0.12,4334,989.3,3,8,Yes,"Clothing, Accessories",4.2,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,UAE,0.78,2034,August
123,Shrink Wrap,Bag,1.0,3172,2195.49,5,8,Yes,"Jewelry, Cosmetics",4.4,https://dummyimage.com/600x400/000/fff&text=Shrink+Wrap,UAE,1.38,2034,September
124,Kraft Paper,Box,0.59,1422,1595.5,5,5,No,Clothing,3.4,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"Europe, Australia",1.33,2034,October
125,Honeycomb Paper,Wrap,1.8,1273,2097.47,4,10,Yes,"Clothing, Electronics",4.0,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,Africa,1.42,2034,November
126,Padded Envelope,Filler,1.16,1121,2398.17,14,7,Yes,"Jewelry, Cosmetics",3.9,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,"Asia, UAE",1.41,2034,December
127,Biodegradable Foam,Bag,1.24,3317,1533.56,9,3,No,"Cosmetics, Books, Food",4.9,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,"UAE, Asia",1.22,2035,January
128,Honeycomb Paper,Envelope,1.07,3284,1790.04,7,3,Yes,"Books, Glassware",4.6,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,Africa,1.36,2035,February
129,Bubble Wrap,Envelope,1.56,4440,1958.68,2,10,No,"Clothing, Toys, Jewelry",4.7,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,"Europe, Asia",1.39,2035,March
130,Shrink Wrap,Box,0.3,2609,1258.72,11,5,No,"Electronics, Accessories, Clothing",4.5,https://dummyimage.com/600x400/000/fff&text=Shrink+Wrap,Australia,0.95,2035,April
131,Kraft Paper,Bag,1.23,3230,1237.81,13,10,No,Toys,3.9,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,Australia,1.05,2035,May
132,Kraft Paper,Filler,1.16,1085,1446.93,9,4,Yes,Books,4.1,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,North America,1.03,2035,June
133,Kraft Paper,Envelope,1.87,2759,1608.63,12,9,No,Accessories,4.7,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"Asia, Latin America",1.29,2035,July
134,Rigid Boxes,Envelope,0.75,4960,1271.32,9,8,No,Tools,4.4,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,"UAE, Asia",0.87,2035,August
135,Thermal Insulated Box,Envelope,0.1,2355,1216.26,8,8,Yes,"Accessories, Glassware, Clothing",3.7,https://dummyimage.com/600x400/000/fff&text=Thermal+Insulated+Box,Asia,0.96,2035,September
136,Jiffy Bag,Wrap,1.1,457,1820.96,15,8,No,"Electronics, Jewelry",4.3,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,Asia,1.13,2035,October
137,Kraft Paper,Box,1.09,357,1851.75,13,10,No,"Accessories, Food",3.8,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"North America, Africa",1.44,2035,November
138,Biodegradable Foam,Wrap,1.14,347,1336.78,2,6,No,"Books, Toys",3.2,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,UAE,0.99,2035,December
139,Jiffy Bag,Box,1.27,595,1176.8,6,3,No,"Clothing, Glassware",4.7,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,"Australia, Africa",0.78,2036,January
140,Rigid Boxes,Bag,1.96,567,1211.25,14,9,No,"Jewelry, Cosmetics",3.8,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,Europe,0.99,2036,February
141,Biodegradable Foam,Filler,1.61,4219,1940.65,6,3,Yes,Cosmetics,4.3,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,Asia,1.36,2036,March
142,Honeycomb Paper,Envelope,0.78,4424,2271.73,7,7,Yes,"Food, Jewelry",4.6,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,Latin America,1.44,2036,April
143,Bubble Wrap,Wrap,0.21,3092,1604.18,6,4,No,"Books, Food",4.8,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,UAE,1.37,2036,May
144,Biodegradable Foam,Envelope,1.67,4715,1648.33,14,5,No,Tools,4.6,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,"Latin America, Asia",1.16,2036,June
145,Shrink Wrap,Bag,1.98,3503,1173.81,6,3,No,Food,3.9,https://dummyimage.com/600x400/000/fff&text=Shrink+Wrap,Europe,0.82,2036,July
